"","site","fetch","direction","quadrant","x","y","x_end","y_end"
"1","Kawau Bay",2.13406178168207,0,"North",1761414.43528977,5970179.31979412,1761414.43528977,5972313.3815758
"2","Kawau Bay",2.04154971159998,10,"North",1761414.43528977,5970179.31979412,1761768.94667681,5972189.85377826
"3","Kawau Bay",2.49307815529607,20,"North",1761414.43528977,5970179.31979412,1762267.11823777,5972522.04693969
"4","Kawau Bay",2.68169785050551,30,"North",1761414.43528977,5970179.31979412,1762755.28421502,5972501.73825793
"5","Kawau Bay",3.3791799945458,40,"North",1761414.43528977,5970179.31979412,1763586.53032116,5972767.92185124
"6","Kawau Bay",3.86011677603752,50,"East",1761414.43528977,5970179.31979412,1764371.45629584,5972660.5550297
"7","Kawau Bay",4.67158857066272,60,"East",1761414.43528977,5970179.31979412,1765460.14966799,5972515.11407945
"8","Kawau Bay",52.4721262720106,70,"East",1761414.43528977,5970179.31979412,1810722.10514452,5988125.84394228
"9","Kawau Bay",3.60303733078864,80,"East",1761414.43528977,5970179.31979412,1764962.73438752,5970804.98066068
"10","Kawau Bay",2.74496121040219,90,"East",1761414.43528977,5970179.31979412,1764159.39650017,5970179.31979412
"11","Kawau Bay",2.48098999178071,100,"East",1761414.43528977,5970179.31979412,1763857.73346882,5969748.50040324
"12","Kawau Bay",2.35359571193514,110,"East",1761414.43528977,5970179.31979412,1763626.09181259,5969374.3426514
"13","Kawau Bay",2.87004597341967,120,"East",1761414.43528977,5970179.31979412,1763899.96801278,5968744.29680741
"14","Kawau Bay",2.3802255510462,130,"East",1761414.43528977,5970179.31979412,1763237.79384652,5968649.34030165
"15","Kawau Bay",2.58361357419503,140,"South",1761414.43528977,5970179.31979412,1763075.15008348,5968200.15697244
"16","Kawau Bay",3.68408803750975,150,"South",1761414.43528977,5970179.31979412,1763256.47930853,5966988.80596386
"17","Kawau Bay",23.7883816866438,160,"South",1761414.43528977,5970179.31979412,1769550.54100372,5947825.55306274
"18","Kawau Bay",3.53434064152371,170,"South",1761414.43528977,5970179.31979412,1762028.16710143,5966698.67372856
"19","Kawau Bay",11.2125284991376,180,"South",1761414.43528977,5970179.31979412,1761414.43528977,5958966.79129498
"20","Kawau Bay",2.84757918945075,190,"South",1761414.43528977,5970179.31979412,1760919.95835276,5967375.00173103
"21","Kawau Bay",1.67293443951219,200,"South",1761414.43528977,5970179.31979412,1760842.25801299,5968607.27564625
"22","Kawau Bay",5.33347804894644,210,"South",1761414.43528977,5970179.31979412,1758747.6962653,5965560.3923132
"23","Kawau Bay",5.58690047008835,220,"South",1761414.43528977,5970179.31979412,1757823.24489104,5965899.50573475
"24","Kawau Bay",6.1603840794733,230,"West",1761414.43528977,5970179.31979412,1756695.30729821,5966219.50123692
"25","Kawau Bay",6.14278212898578,240,"West",1761414.43528977,5970179.31979412,1756094.62991615,5967107.92872963
"26","Kawau Bay",6.64048110137053,250,"West",1761414.43528977,5970179.31979412,1755174.42420034,5967908.14149608
"27","Kawau Bay",6.43229282983565,260,"West",1761414.43528977,5970179.31979412,1755079.8634413,5969062.363866
"28","Kawau Bay",5.57718957794784,270,"West",1761414.43528977,5970179.31979412,1755837.24571182,5970179.31979412
"29","Kawau Bay",4.7894200917102,280,"West",1761414.43528977,5970179.31979412,1756697.77725102,5971010.99386513
"30","Kawau Bay",2.74245747846147,290,"West",1761414.43528977,5970179.31979412,1758837.36823444,5971117.29549397
"31","Kawau Bay",2.47582594522009,300,"West",1761414.43528977,5970179.31979412,1759270.30712586,5971417.23276673
"32","Kawau Bay",2.09834623158375,310,"West",1761414.43528977,5970179.31979412,1759807.00881933,5971528.11075262
"33","Kawau Bay",1.48027967709671,320,"North",1761414.43528977,5970179.31979412,1760462.92985446,5971313.27981502
"34","Kawau Bay",1.45760957962064,330,"North",1761414.43528977,5970179.31979412,1760685.63049996,5971441.64671887
"35","Kawau Bay",2.18588717496022,340,"North",1761414.43528977,5970179.31979412,1760666.8178449,5972233.3818423
"36","Kawau Bay",2.47418532531756,350,"North",1761414.43528977,5970179.31979412,1760984.79751682,5972615.91668488
"37","Chetwode Islands",145.934891362702,0,"North",1701075.28471633,5471650.71997614,1701075.28471633,5617585.61133884
"38","Chetwode Islands",129.473431982365,10,"North",1701075.28471633,5471650.71997614,1723558.11023635,5599157.15960147
